clusterId,topicName,hashtags
20,Wash Hands,outbreak handsanitizer washhands purell contagion askabc2020 sanitizer conspiracy wholesalesanitizer european antibacterial asian shortage blowjob handsanitiser cosplay cumshot naturaltits babe brunette homemade blonde fingerfucking cleanhands japanese masturbation bigtits hardcore supplies sextoys antivirus shavedpussy bigass milf student handsanitizers funding lingerie hand highheels orgasm handgel fetish,2125
21,Wuhan,wuhan chinese ccp covid19china censorship shanghai wuhanlockdown hubei wuhancoronovirus ccpchina coronarvirus fightvirus wujan spanish dalailama wechat drone fuckchina chinatown liwenliang sarcov2 wuhanchina batflu english bat prc slavery,2103
22,Online Learning,education edtech highered edchat video schools onlinelearning elearning k12 schoolclosures teachers college learning students movie highereducation pizza smile universities edutwitter university teaching virtuallearning onlineteaching voiceover highschool 10km3x2 txed educators colleges satchat onlineeducation language emchat edtechchat suptchat audio,1960
23,Coronaalert,coronaalert coronvirus cornavirusoutbreak coronaflu cronavirus covid19india covid19fr nct127_kickit,1796
24,sxsw,sxsw india socialmedia food startups yoga sxsw20 islam grocery blacklivesmatter venturecapital vc cooking muslim g20 comiccon modi saas recipes supermarkets farmersmarket dubnation productdevelopment kitchen dao bjp customerdevelopment sfnt om agiledevelopment leanstartup tao foodindustry brics,1788
25,Florida,florida miami flapol arizona springbreak tampa orlando floridacoronavirus stl springbreak2020 wftv tampabay ultra2020 lgbt ultra stlouis governor floridaman floridalockdown broward browardcounty jacksonville staycation tucson stpetersburg floridanews raysup sunrise visitflorida publix miamibeach visittampa hillsborough fortlauderdale ultramusicfestival rondesantis sayfie,1716
26,Supply Chain,supplychain transportation logistics manufacturing shipping trucking transit traffic maritime industry procurement madeinusa freight mfg pmi truckers cargo sourcing transport supplychainmanagement outsourcing bus purchasing,1590
27,Work from Home,remotework workfromhome wfh remoteworking remote futureofwork telecommuting telework collaboration teacher teacherlife response team telecommute workathome digitalworkplace companies remoteworkers workremotely company,1577
28,n95 masks,n95 masks facemask facemasks n95mask coronviruswho mask n95respirator gloves n95masks 3m surgicalmask,1316
29,Texas,texas sxsw2020 houston austin sanantonio atx txlege dallas cancelsxsw cancelled austintx austintexas dfw sxswcancelled houstonrodeo satx,1303
30,Sports,nba sports marchmadness mlb nfl nhl ncaa football basketball ncaatournament baseball soccer mls espn rudygobert lakers nfldraft hockey sport nbatwitter kevindurant lebronjames kobe dodgers marchsadness hockeytwitter,1204
31,,cybersecurity security infosec privacy risk phishing malware it cyberattack surveillance ransomware cyber hipaa dataprotection hackers hacking gdpr cybercrime vpn databreach ciso datasecurity dataprivacy cyberattacks hack msp attacksolutions hacker informationsecurity,1194
32,,facebook google twitter netflix microsoft internet microsoftteams googleio smart android hulu aws linkedin azure office365 tweet googleio2020 capital,1111
33,,climatechange climatecrisis nature pollution globalwarming environment nasa climateemergency climate wildlife climateaction war airpollution gretathunberg gpwx birds emissions,1038
34,,comedy funny humor lol memes meme comics jokes joke realtalk satire lmao funnymemes standupcomedy thesimpsons parody comedian memesdaily fyp hilarious dankmemes showerthoughts darkhumor standup fuckit comedians drama sicktime,1009
35,,realestate mortgage cre housing realtor sacramento mortgagerates property commercialrealestate housingmarket mortgages forsale realestatenews realestateagent realtors realty homes homebuying realestatemarket homebuyers realtorlife properties industrial refinance finances development realestateinvesting,1003
36,,fridaythoughts fridaymotivation fridayfeeling fridayvibes funfactfriday smackdownonfox chromatica internationalwomenday2020 fridaymorning good iloveme,945
37,,auspol 9news covid19aus scottyfrommarketing covid19au springst nzpol uspolitics insiders covid_19australia scomo bushfires floods auspolsocorrupt scottyfrommarketting,846
38,,marketing ecommerce seo digitalmarketing conference strategy branding advertising b2b contentmarketing brand socialmediamarketing virtual martech smm content wordpress webdesign,811
39,,feedly mustread impeachobamasjudges arrestthemallnow ricothedems uncategorized realnews,791
40,,covid19ireland stpatricksday ireland vmnews dublin watch stpatricksday2020 stpatricksdayparade irelandlockdown happystpatricksday irish cork,772
41,,hr workplace employees humanresources employmentlaw shrm employers emplaw businesses hrtech fmla employeeengagement ffcra benefits ssp hrcommunity,748
42,,rt theresistance1776 infowars bitchute inf0wars warroomshow alexjones brighteon alexjonesshow iartg infowarriors davidknightshow,740
43,,books free reading amreading scifi space giveaway book adventure ebook kindle novel imagine publishing fantasy dystopian win kindleunlimited dystopic fiction adventuretime sciencefiction,684
44,,god prayer jesus faith pray christian church religion bible christianity muslims lent faithoverfear soldiers,681
45,,fda endtimes blacktwitter bibleprophecy revelation ados blaqsbi israelites hebrewisraelites b1 12tribesofisrael apttmhgi negroes newblackmedia blackmedia yisrael hebrew blackexcellence,647
46,,fashion photography tbt beauty beautiful photooftheday style happy instagood model picoftheday photo cute photographer jewelry throwbackthursday photoshoot streetphotography photos models,645
47,,parenting kids school homeschool parents children games moms prek parentingtips literacy parentinginapandemic dads,639
48,,tuesdaythoughts tuesdaymotivation tuesdayvibes tuesdaymorning tuesdaytip mar10day,636
49,,medtwitter epitwitter meded idtwitter foamed icu econtwitter medstudenttwitter covid19foam somedocs,628
50,,wednesdaywisdom wednesdaythoughts wednesdaymotivation wednesdayvibes wednesdaymorning wednesday harveyweinstein thebatman,602
51,,podcast podcasts podernfamily podcasting society interview closures dailylife,594
52,,notimetodie jamesbond snl bond bond25 danielcraig,584
53,,sars ebola h1n1 swineflu mers zika birdflu drc dna congo,582
54,,himss20 sustainability socialvr hcldr himss2020 tedmed healthsystemschat himsssustainability himss virtualhimss20 green makewayforwonder hitsm oculusquest,562
55,,life wisdom advice inspiration goals courage mindset hustle action dreams getitdone hardwork lifelessons perseverance inspire belief personalgrowth makeithappen foundr,553
56,,businesscontinuity crisismanagement riskmanagement pr crisiscomms hse crisiscommunications emergencymanagement publicrelations schoolpr ehs disasterrecovery internalcomms crisispr prsa,544
57,,oigetit fakenewsfilter rhodeisland scientists newhampshire wefilterfakenews ri myanmar contactless presidentdonaldtrump stockmarketupdate economicslowdown cleaningsupplies healthofficials,503
58,,writingcommunity amwriting writing writerslife writers writer storytelling author writerscommunity thriller screenwriting vss365 kidlit readers,501
59,,movies hollywood entertainment film tv celebrity actor actorslife cinema filmmaking filmmaker actors movienews telugu boxoffice,479
60,,smallbusiness smallbiz smallbusinesses smb sba smallbusinessowners businessowner businessowners,465
61,,art illustration drawing anime creative artwork sketch graphicdesign arts digitalart artists painting comic cartoon istayhome,463
62,,infectiousdisease travelalert airline delhi kerala poland,447
63,,atlanta georgia gapol atl ga fultoncounty kemp,436
64,,community support solidarity bettertogether thankful swfl carlsbad service volunteer propertymanagement,428
65,,covid19uk coronovirusuk covid_2019,421
66,,maryland virginia dc washingtondc baltimore dmv moco,403
67,,chicago illinois canceled chicagocovidrebellion,403
68,,protection essentialoils protect nanosilver bacteria natural ppdpr light mrsa antibiotic colloidalsilver faruvc staph spectrum lives hydroxylgenerators,395
69,,eventprofs events conferences meetingprofs cancellations tradeshows meetings assnchat virtualevents virtualmeetings festivals,392
70,,map,382
71,,dogs cats dogsoftwitter catsoftwitter animals catsofinstagram cat adoptdontshop catsofthequarantine doglovers puppies doglife,376
72,,cannabis cbd marijuana cannabiscommunity hemp cbdoil weed cannabisindustry medicalmarijuana cannabisnews thc,372
73,,wwe wrestlemania raw aewdynamite smackdown aew wrestling impact prowrestling nxt,358
74,,gaming gamer videogames ps4 nintendo xbox playstation zelda game pokemon ps5 pcgaming,347
75,,louisiana covid19outbreak breaking_news nys breakingnewsnow newyorkstate breakingnow breakingnewz covid19pandemic batonrouge covid19update,322
76,,apple iphone nike uighurs foxconn samsung,318
77,,automotive cars auto car nebraska newmexico omaha,311
78,,olympics tokyo2020 tokyo olympics2020 tokyoolympics ioc olympic,306
79,,internationalwomensday warren loveisblind ultimateloveng pitmad lauvxbts walkingdead mewgulf castlevanianetflix stayinliz,301
80,,twitch streaming fortnite supportsmallstreamers streamer twitchaffiliate twitchstreamer twitchtv smallstreamersconnect smallstreamercommunity smallstreamer,300
81,,ubi ubistimulus yanggang emergencyubi humanityfirst families universalbasicincome communities,299
82,,ppe ppeshortage ppenow ventilatorshortage ppeshortages ventilator,299
83,,lasvegas vegas nevada clarkcounty kxnt,298
84,,hiv aids croi2020 prep stigma nwghaad pathogens,291
85,,colorado denver candicdebaca boulder,290
86,,thursdaythoughts thursdaymotivation thursdaymorning thursdayvibes thursdaywisdom,290
87,,magats removetrump lyingtrump donothingtrump,285
88,,xijinping martiallaw freechina gaslighter wetsuweten avenatti peternygard militarytribunals blockades,277
89,,prepper survival preppers prepping shtf teotwawki,276
90,,nashville tennessee tornado memphis montgomerycounty tornadoes tennesseetornado,259
91,,academictwitter scicomm academicchatter phdchat phdlife academia,258
92,,viruscorona healthcareforall virus_corona virusoutbreak korona koronawirus coronafighters,257
93,,disney disneyland disneyworld disneyplus marvel waltdisneyworld frozen2 wdw,252
94,,fail scientific fubar ignorant assclown grifter,249
95,,racism racist xenophobia discrimination hate aapi,242
96,,viruses publicsafety workers virology sickpay globalisation corporations 21stc,239
97,,nonprofit nonprofits relief4charities philanthropy charity fundraising charities,234
98,,ncpol ncga covid19nc nced ncgov nchealth,224
99,,animalcrossing nintendoswitch acnh animalcrossingnewhorizons,221
