name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Supply Chain,70,20,25,30,29,24,34,42,21,14,17,17,15,13,24,13,10,16,13,15,25,31,12,15,11,12,12,26,16,11,13
Florida,11,7,27,25,15,22,22,20,30,17,23,35,27,42,26,56,56,44,49,27,42,48,52,76,42,28,74,49,39,41,28
Medicare for All,32,9,21,29,24,30,19,17,22,22,25,20,25,22,29,21,26,24,19,34,32,17,32,22,34,17,19,25,35,22,20
Education & Parenting,12,6,24,24,19,36,45,36,46,87,65,80,73,101,77,70,67,53,92,53,60,36,87,29,64,44,17,23,25,76,34
n95 masks,55,41,44,40,40,43,26,35,36,20,8,4,12,15,28,19,16,29,26,36,40,40,45,27,35,24,70,44,41,30,43
Sports,17,37,29,31,34,31,29,34,32,37,50,64,35,36,33,36,50,25,31,30,45,53,35,32,39,29,39,36,54,31,25
Online Learning,31,35,37,34,37,28,25,28,20,27,34,33,24,20,27,32,51,22,28,42,35,29,30,21,23,42,24,15,22,20,29
Climate Change,37,34,23,26,28,44,43,44,35,26,39,27,33,63,56,66,62,37,25,37,53,41,19,35,29,34,29,28,49,12,32
Mental Health,152,130,131,194,128,4,17,52,111,139,206,116,16,55,184,169,178,164,183,9,63,76,131,117,142,123,9,21,137,150,160
Real Estate,45,48,43,45,74,46,46,51,33,47,42,60,30,25,18,26,17,19,18,19,18,18,17,18,17,16,20,19,33,19,27
Podcasts,40,44,38,35,42,48,32,49,34,33,48,44,47,58,41,30,33,26,44,18,26,60,41,51,21,13,26,37,44,23,23
Veterans,35,39,41,38,35,39,28,31,49,32,78,21,23,27,14,27,28,30,75,47,50,10,26,12,38,62,47,38,28,57,35
topic34,7,70,108,117,136,116,127,11,52,137,115,76,90,83,9,64,96,74,109,124,115,8,16,112,98,89,106,146,10,62,84
Memes,36,58,45,41,32,56,82,30,26,52,41,28,69,46,30,38,69,45,126,59,57,47,51,54,45,47,89,134,135,90,33
topic36,44,61,48,42,39,89,44,39,42,49,69,66,31,28,31,28,21,54,27,38,21,20,14,23,24,30,23,41,19,28,36
topic37,28,15,39,33,44,29,49,43,28,60,37,32,42,31,35,37,45,81,42,68,54,72,62,33,96,82,86,72,139,94,67
topic38,50,38,34,32,36,42,47,67,45,35,47,42,88,52,70,33,37,46,38,35,58,22,59,53,37,23,34,65,69,18,42
topic39,48,22,36,47,38,35,39,29,44,41,38,55,39,84,50,29,39,34,36,52,47,66,58,26,40,55,58,43,20,66,41
Faith,51,49,49,48,58,61,90,37,39,30,27,68,45,33,38,31,38,20,21,32,55,26,38,36,47,53,44,54,21,21,26
topic41,33,27,33,28,45,60,33,66,69,28,26,45,55,45,62,99,81,79,62,69,83,74,137,62,86,116,69,91,144,99,68
topic42,223,221,12,61,225,213,221,220,146,11,60,213,160,218,161,219,15,173,184,220,175,144,135,49,120,155,145,127,136,129,12
topic43,43,51,51,52,56,54,42,55,72,66,71,54,50,32,61,40,49,42,48,51,51,55,40,66,69,33,65,29,9,14,9
topic44,181,134,185,19,70,173,207,121,224,227,12,89,116,220,173,221,146,14,76,154,176,154,39,155,8,56,171,147,138,151,162
topic45,34,59,54,50,69,52,56,47,37,65,126,52,34,37,23,49,63,38,45,44,43,34,29,43,41,59,55,45,24,33,18
topic46,27,92,115,18,27,82,110,25,105,128,153,107,104,73,132,128,176,178,182,216,174,95,120,154,157,135,114,144,133,152,120
topic47,26,32,35,46,43,37,30,45,40,62,84,48,36,49,71,48,44,50,141,63,86,71,119,83,82,36,150,149,111,71,83
topic48,49,40,42,65,79,34,59,40,78,61,46,30,64,26,20,45,43,57,33,62,46,35,65,75,46,21,35,50,29,48,49
topic49,42,226,196,222,219,174,9,27,219,222,218,220,214,10,45,217,177,179,164,128,9,43,133,151,154,153,172,10,38,153,163
